seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.6723545789718628,0.8199722766876221,0.5674080848693848,0.8448218107223511,1.272579550743103,0.6647421717643738,0.018388761207461357,4.518146991729736,1000,37,2nd,False,static_all,0.8,1000,37,2nd,False,static_all,0.2
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.9102587699890137,0.9540748000144958,0.7026569843292236,1.0718142986297607,1.411605715751648,0.7962319850921631,0.001683540060184896,6.594847202301025,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.0,20000,256,10,0.8094123601913452,0.8996734619140625,0.6365327835083008,0.9751268029212952,1.3908722400665283,0.7395148277282715,0.008833696134388447,5.839056491851807,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.0,20000,256,10,0.7660391330718994,0.8752366304397583,0.6435681581497192,0.9716540575027466,1.338700532913208,0.7369430065155029,0.006954960059374571,6.057135105133057,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.0,20000,256,10,0.912635087966919,0.955319344997406,0.6898717284202576,1.0245712995529175,1.4381564855575562,0.7947314381599426,0.008807448670268059,5.321542739868164,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.0,20000,256,10,0.8825086355209351,0.9394193291664124,0.6746342182159424,1.0566234588623047,1.4084206819534302,0.779473602771759,0.011240927502512932,6.532436847686768,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.0,20000,256,10,0.7484849691390991,0.8651502728462219,0.6217178106307983,0.9704812169075012,1.309609055519104,0.714980959892273,0.001833850983530283,6.01301908493042,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.0,20000,256,10,0.8901740312576294,0.9434903264045715,0.6832550764083862,1.0344771146774292,1.3990581035614014,0.7803006172180176,0.00936958473175764,6.992828845977783,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.43194501864211576,0.2912291401980419,0.6118528947223795,0.0,20000,256,10,0.8404583930969238,0.9167651534080505,0.6321532726287842,1.0405025482177734,1.3736966848373413,0.7521921396255493,0.0011525220470502973,7.355558395385742,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.0,20000,256,10,0.820917010307312,0.9060447216033936,0.6651099324226379,0.9986847043037415,1.3588409423828125,0.7590393424034119,0.012655548751354218,5.912194728851318,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.45606998421703593,0.7851759613930136,0.19967378215835974,0.0,20000,256,10,0.7993431091308594,0.8940598964691162,0.6145071983337402,0.9609315395355225,1.382215142250061,0.7406583428382874,0.004853512160480022,6.950751304626465,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5142344384136116,0.5924145688620425,0.046450412719997725,0.0,20000,256,10,0.8026810884475708,0.8959246873855591,0.6238684058189392,0.9747549295425415,1.3516647815704346,0.7356585264205933,0.0072709559462964535,4.710414886474609,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.0,20000,256,10,0.7645001411437988,0.8743569850921631,0.6345985531806946,0.9640861749649048,1.3465797901153564,0.7333716750144958,0.012375031597912312,6.038828372955322,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.9488855372533332,0.9656320330745594,0.8083973481164611,0.0,20000,256,10,0.7995551228523254,0.8941784501075745,0.6249514818191528,0.9676594734191895,1.3707611560821533,0.7370418906211853,0.007949336431920528,5.785298824310303,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.0,20000,256,10,0.775018572807312,0.8803513646125793,0.6438167095184326,0.9543172717094421,1.348914623260498,0.7388947606086731,0.0031398399733006954,6.228745460510254,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.4401524937396013,0.12203823484477883,0.4951769101112702,0.0,20000,256,10,0.7672197222709656,0.8759108185768127,0.6461345553398132,0.966598629951477,1.3406862020492554,0.7379273772239685,0.004479699302464724,6.24360990524292,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.034388521115218396,0.9093204020787821,0.2587799816000169,0.0,20000,256,10,0.9084303379058838,0.9531161189079285,0.6859651803970337,1.0521594285964966,1.4979968070983887,0.7885635495185852,0.007621679920703173,6.449828147888184,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.662522284353982,0.31171107608941095,0.5200680211778108,0.0,20000,256,10,0.7664478421211243,0.8754700422286987,0.636591911315918,0.9405990242958069,1.3330188989639282,0.7285546064376831,0.0032337543088942766,5.986128330230713,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5467102793432796,0.18485445552552704,0.9695846277645586,0.0,20000,256,10,0.7753819227218628,0.8805577158927917,0.6419582366943359,0.9522532224655151,1.3369808197021484,0.7372569441795349,0.011607310734689236,6.105242729187012,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.0,20000,256,10,0.8493708372116089,0.9216131567955017,0.6512436270713806,1.0078661441802979,1.346281886100769,0.7557637691497803,0.005224626045674086,5.629379749298096,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.0,20000,256,10,0.8751809000968933,0.93551105260849,0.6716939806938171,1.0157407522201538,1.4010533094406128,0.7719345688819885,0.007053642999380827,7.016969203948975,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.1959828624191452,0.045227288910538066,0.32533033076326434,0.0,20000,256,10,0.8276069760322571,0.9097290635108948,0.6319645643234253,0.996849536895752,1.3907967805862427,0.7392800450325012,0.007275084033608437,9.062529563903809,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.388677289689482,0.2713490317738959,0.8287375091519293,0.0,20000,256,10,0.8167495131492615,0.9037419557571411,0.6146588921546936,1.0144659280776978,1.3584492206573486,0.7391969561576843,0.008637436665594578,6.775221347808838,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3567533266935893,0.28093450968738076,0.5426960831582485,0.0,20000,256,10,0.8326061367988586,0.9124725461006165,0.629612147808075,1.0223699808120728,1.39291250705719,0.7479434609413147,0.002889961702749133,6.654928207397461,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.14092422497476265,0.8021969807540397,0.07455064367977082,0.0,20000,256,10,0.8376591205596924,0.9152371883392334,0.6106759309768677,0.9491672515869141,1.4372535943984985,0.7437055110931396,0.003380019450560212,6.274991512298584,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.9868869366005173,0.7722447692966574,0.1987156815341724,0.0,20000,256,10,0.8090483546257019,0.8994711637496948,0.6118255853652954,1.0060479640960693,1.3870792388916016,0.7305528521537781,0.0044760690070688725,6.924352169036865,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.005522117123602399,0.8154614284548342,0.7068573438476171,0.0,20000,256,10,0.930286169052124,0.9645134210586548,0.6928409337997437,1.0551376342773438,1.4863029718399048,0.8059621453285217,0.008172526955604553,5.5711445808410645,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7290071680409873,0.7712703466859457,0.07404465173409036,0.0,20000,256,10,0.8025891780853271,0.8958734273910522,0.6248328685760498,0.9741267561912537,1.376320242881775,0.7373877167701721,0.0054787443950772285,5.363750457763672,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3584657285442726,0.11586905952512971,0.8631034258755935,0.0,20000,256,10,0.7750852108001709,0.8803892135620117,0.6448609232902527,0.9535403847694397,1.3481022119522095,0.7387717366218567,0.0035901409573853016,6.235029220581055,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6232981268275579,0.3308980248526492,0.06355835028602363,0.0,20000,256,10,0.7828507423400879,0.8847885131835938,0.6166072487831116,0.9745296835899353,1.361838698387146,0.7265852689743042,0.0007201005355454981,6.804976463317871,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3109823217156622,0.32518332202674705,0.7296061783380641,0.0,20000,256,10,0.8045713305473328,0.8969789743423462,0.6317098736763,0.9769065380096436,1.3649318218231201,0.739885687828064,0.013568415306508541,5.531413555145264,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6375574713552131,0.8872127425763265,0.4722149251619493,0.0,20000,256,10,0.7931657433509827,0.8905985355377197,0.6226023435592651,0.957472026348114,1.400607943534851,0.7317072153091431,0.00611189566552639,6.942905426025391,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.1195942459383017,0.713244787222995,0.7607850486168974,0.0,20000,256,10,0.8394322395324707,0.9162053465843201,0.6107120513916016,0.9484987854957581,1.440646767616272,0.7451490759849548,0.013756263069808483,5.9859938621521,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5612771975694962,0.770967179954561,0.49379559636439074,0.0,20000,256,10,0.7980460524559021,0.8933342099189758,0.625363826751709,0.9669960141181946,1.4119789600372314,0.7358269691467285,0.00410836935043335,6.834217071533203,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5227328293819941,0.42754101835854963,0.02541912674409519,0.0,20000,256,10,0.7886234521865845,0.8880447149276733,0.6044772863388062,0.9727041125297546,1.322657823562622,0.7210959196090698,0.0028498307801783085,7.340005397796631,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.10789142699330445,0.03142918568673425,0.6364104112637804,0.0,20000,256,10,0.7581732869148254,0.8707314729690552,0.6303374767303467,0.9614955186843872,1.3495516777038574,0.727287232875824,0.0044252825900912285,6.331753730773926,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3143559810763267,0.5085706911647028,0.907566473926093,0.0,20000,256,10,0.8862192034721375,0.941392183303833,0.6793287992477417,1.0257292985916138,1.3987957239151,0.7779669761657715,0.010082084685564041,7.029380798339844,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.24929222914887494,0.41038292303562973,0.7555511385430487,0.0,20000,256,10,0.8892032504081726,0.9429757595062256,0.6820740103721619,1.0321283340454102,1.4006733894348145,0.7797081470489502,0.009397727437317371,7.00862455368042,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.22879816549162246,0.07697990982879299,0.289751452913768,0.0,20000,256,10,0.7753152847290039,0.8805198669433594,0.6435792446136475,0.9513644576072693,1.3387744426727295,0.7369790077209473,0.0005105866584926844,6.051095962524414,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.16122128725400442,0.9296976523425731,0.808120379564417,0.0,20000,256,10,0.8385413289070129,0.9157190322875977,0.6115270853042603,0.946101188659668,1.4422974586486816,0.7448986172676086,0.004620927385985851,6.150352478027344,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6334037565104235,0.8714605901877177,0.8036720768991145,0.0,20000,256,10,0.7981117963790894,0.893371045589447,0.6274035573005676,0.9674164652824402,1.4141491651535034,0.7361372709274292,0.004430492874234915,6.830142021179199,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.18657005888603584,0.8925589984899778,0.5393422419156507,0.0,20000,256,10,0.9462159872055054,0.9727363586425781,0.7132459282875061,1.0268142223358154,1.437909722328186,0.8056245446205139,0.0024232040159404278,5.237685203552246,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.8074401551640625,0.8960912999234932,0.3180034749718639,0.0,20000,256,10,0.7983152866363525,0.893484890460968,0.623374879360199,0.9669821858406067,1.3607906103134155,0.7337350249290466,0.005606542341411114,4.646437168121338,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.11005192452767676,0.22793516254194168,0.4271077886262563,0.0,20000,256,10,0.8462256193161011,0.9199052453041077,0.6705207824707031,1.0368099212646484,1.3366155624389648,0.7708407044410706,0.00760076567530632,6.6363067626953125,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.8180147659224931,0.8607305832563434,0.006952130531190703,0.0,20000,256,10,0.8024376630783081,0.895788848400116,0.6246802806854248,0.9744114875793457,1.3737833499908447,0.7374027967453003,0.0045183394104242325,5.390283107757568,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5107473025775657,0.417411003148779,0.22210781047073025,0.0,20000,256,10,0.8350790143013,0.913826584815979,0.6330335736274719,1.0246728658676147,1.3837209939956665,0.7459605932235718,0.0034994580782949924,6.446339130401611,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.1198653673336828,0.33761517140362796,0.9429097039125192,0.0,20000,256,10,0.8305699229240417,0.9113560914993286,0.6654744744300842,0.9843755960464478,1.379578948020935,0.7567726373672485,0.011021091602742672,5.588642597198486,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.32320293202075523,0.5187906217433661,0.7030189588951778,0.0,20000,256,10,0.8843091726303101,0.9403771162033081,0.6763259768486023,1.0248841047286987,1.400542140007019,0.7768253087997437,0.004630257375538349,7.024068832397461,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.363629602379294,0.9717820827209607,0.9624472949421112,0.0,20000,256,10,0.8252185583114624,0.9084154367446899,0.6647671461105347,0.9727122783660889,1.352320671081543,0.752315104007721,0.003441236447542906,5.170168876647949,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.25178229582536416,0.49724850589238545,0.30087830981676966,0.0,20000,256,10,0.8927457332611084,0.9448522329330444,0.6702077388763428,1.0633883476257324,1.447711706161499,0.7813953757286072,0.006585666909813881,7.158952713012695,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.2848404943774676,0.036886947354532795,0.6095643339798968,0.0,20000,256,10,0.878118634223938,0.9370798468589783,0.6680843234062195,1.0571650266647339,1.414427399635315,0.7785575985908508,0.007476068567484617,6.457540035247803,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5026790232288615,0.05147875124998935,0.27864646423661144,0.0,20000,256,10,0.8677616715431213,0.9315372705459595,0.6683825850486755,1.0512819290161133,1.3993018865585327,0.7757624983787537,0.00433599017560482,6.436137676239014,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.9082658859666537,0.23956189066697242,0.1448948720912231,0.0,20000,256,10,0.7665197849273682,0.8755111694335938,0.6412798762321472,0.9677295088768005,1.3415801525115967,0.7375868558883667,0.003427689429372549,6.1101274490356445,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.489452760277563,0.9856504541106007,0.2420552715115004,0.0,20000,256,10,0.8242446780204773,0.9078792333602905,0.6439563035964966,0.9891837239265442,1.359814167022705,0.7493547797203064,0.004950689151883125,5.01519775390625,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6721355474058786,0.7616196153287176,0.23763754399239967,0.0,20000,256,10,0.7995948791503906,0.8942006826400757,0.6261839270591736,0.9674332141876221,1.3481000661849976,0.7349103689193726,0.008421637117862701,4.65521764755249,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7282163486118596,0.3677831327192532,0.6323058305935795,0.0,20000,256,10,0.7805743217468262,0.8835011720657349,0.6008849143981934,0.9483268857002258,1.3930226564407349,0.7162590622901917,0.002269050106406212,6.626295566558838,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6335297107608947,0.5357746840747585,0.0902897700544083,0.0,20000,256,10,0.8277271389961243,0.9097951054573059,0.6147962212562561,1.000610113143921,1.352665901184082,0.7397862672805786,0.00348857999779284,7.113511562347412,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.835302495589238,0.32078006497173583,0.18651851039985423,0.0,20000,256,10,0.7715660333633423,0.8783883452415466,0.6374433636665344,0.9465251564979553,1.3281372785568237,0.730144202709198,0.005169050768017769,5.956781387329102,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.040775141554763916,0.5908929431882418,0.6775643618422824,0.0,20000,256,10,0.8805409669876099,0.9383714199066162,0.6754300594329834,1.007939338684082,1.4131220579147339,0.7778950929641724,0.0033904798328876495,5.156613826751709,1000,37,2nd,False,static_all,0.19999999999999996,1000,37,2nd,False,static_all,0.8
