seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.26181328296661377,0.5116769075393677,0.30064696073532104,0.47474440932273865,0.7203238010406494,0.3751453757286072,0.010289539583027363,5.419275760650635,1000,37,2nd,False,static_east,0.8,1000,37,2nd,False,static_east,0.2
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.26181328296661377,0.5116769075393677,0.30064696073532104,0.47474440932273865,0.7203238010406494,0.3751453757286072,0.010289539583027363,5.419275760650635,1000,37,2nd,False,static_east,0.8,1000,37,2nd,False,static_east,0.2
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,0.40311476588249207,0.6349132061004639,0.359846830368042,0.6094409823417664,0.9251251220703125,0.47398579120635986,0.0074874539859592915,6.4247636795043945,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3745401188473625,0.9507143064099162,0.7319939418114051,0.0,20000,256,10,0.43110182881355286,0.6565834283828735,0.35322362184524536,0.579903781414032,0.9314512014389038,0.4724377691745758,0.0024427620228379965,6.8090105056762695,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5986584841970366,0.15601864044243652,0.15599452033620265,0.0,20000,256,10,0.3745920658111572,0.6120392680168152,0.2929695248603821,0.5018287897109985,0.8226349353790283,0.41297486424446106,0.008181266486644745,7.715141773223877,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.05808361216819946,0.8661761457749352,0.6011150117432088,0.0,20000,256,10,0.5584367513656616,0.7472862601280212,0.4544243812561035,0.7737327814102173,1.1251225471496582,0.5748662352561951,0.00177040696144104,4.860749244689941,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7080725777960455,0.020584494295802447,0.9699098521619943,0.0,20000,256,10,0.39417752623558044,0.6278355717658997,0.3680000901222229,0.6008561253547668,0.900717556476593,0.4695623219013214,0.011721201241016388,6.647525310516357,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.8324426408004217,0.21233911067827616,0.18182496720710062,0.0,20000,256,10,0.33192557096481323,0.5761297941207886,0.2937212586402893,0.49965691566467285,0.8269042372703552,0.4077361822128296,0.004071918781846762,5.385284900665283,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.0,20000,256,10,0.38363468647003174,0.6193825006484985,0.2990041971206665,0.5592524409294128,0.8408375382423401,0.4291025400161743,0.010979563929140568,6.8953657150268555,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.43194501864211576,0.2912291401980419,0.6118528947223795,0.0,20000,256,10,0.37774670124053955,0.614611029624939,0.3590971827507019,0.6320235729217529,0.903623104095459,0.47070324420928955,0.0033399383537471294,5.802185535430908,1000,37,2nd,False,static_east,0.19999999999999996,1000,37,2nd,False,static_east,0.8
