seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,1.1660012006759644,1.07981538772583,0.8430373668670654,1.233812689781189,1.6313650608062744,0.9164597392082214,0.012258404865860939,3.1931583881378174,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.1,10000,256,10,1.1983927488327026,1.0947113037109375,0.8663541674613953,1.2964680194854736,1.7870090007781982,0.9328046441078186,0.027323583140969276,2.542267322540283,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,1.1776725053787231,1.085206151008606,0.7743945121765137,1.2966222763061523,1.7532883882522583,0.9218336939811707,0.05257990583777428,2.529456377029419,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,1.5900583267211914,1.2609751224517822,0.8259433507919312,1.481602430343628,1.9319292306900024,1.0474251508712769,0.036110322922468185,3.398472547531128,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,1.236799716949463,1.1121150255203247,0.8763991594314575,1.2957587242126465,1.7989299297332764,0.9462926983833313,0.05778307467699051,2.9595720767974854,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,1.3736944198608398,1.1720471382141113,0.8459318280220032,1.361283779144287,2.029909610748291,0.978279709815979,0.10384664684534073,2.9611058235168457,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,1.0,10000,256,10,1.404351830482483,1.1850534677505493,0.9524442553520203,1.4120268821716309,1.8505191802978516,1.019124984741211,0.01376261655241251,3.0011801719665527,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,1.2212872505187988,1.1051186323165894,0.814383327960968,1.2132375240325928,1.8506195545196533,0.8961368203163147,0.017246531322598457,3.120927095413208,1000,37,2nd,False,static_all,1.0,200,37,2nd,mobility_use-case1_run1,1.0
