seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,2.356438398361206,1.535069465637207,1.235159158706665,1.7688119411468506,2.3167734146118164,1.3327580690383911,0.02140890434384346,4.630257606506348,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_west,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,2.356438398361206,1.535069465637207,1.235159158706665,1.7688119411468506,2.3167734146118164,1.3327580690383911,0.02140890434384346,4.630257606506348,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_west,1.0
