seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,3.2640159130096436,1.8066587448120117,1.4744205474853516,2.025763750076294,2.7936432361602783,1.5934231281280518,0.07204493135213852,4.017164707183838,1000,37,2nd,False,calibration,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,3.2640159130096436,1.8066587448120117,1.4744205474853516,2.025763750076294,2.7936432361602783,1.5934231281280518,0.07204493135213852,4.017164707183838,1000,37,2nd,False,calibration,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,3.192028760910034,1.7866249084472656,1.4746994972229004,2.029348134994507,2.6323070526123047,1.5796854496002197,0.07204493135213852,4.017165184020996,1000,37,2nd,False,calibration,1.0,200,37,2nd,mobility_use-case1_run1,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,3.187387228012085,1.785325527191162,1.474705696105957,2.0293498039245605,2.6323084831237793,1.5791246891021729,0.07207247614860535,4.017213821411133,1000,37,2nd,False,calibration,1.0,200,37,2nd,mobility_use-case1_run1,1.0
