seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.18340450985343382,0.3042422429595377,0.5247564316322378,0.0,20000,256,10,0.4686712324619293,0.6845956444740295,0.4053723216056824,0.6514930725097656,0.941159188747406,0.5041934847831726,0.007579508703202009,9.227364540100098,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.43194501864211576,0.2912291401980419,0.6118528947223795,0.0,20000,256,10,0.44476377964019775,0.6669061183929443,0.4260050654411316,0.6559034585952759,0.9005648493766785,0.5080486536026001,0.0039216685108840466,7.344956398010254,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.13949386065204183,0.29214464853521815,0.3663618432936917,0.0,20000,256,10,0.430785208940506,0.6563422679901123,0.40716904401779175,0.6202884912490845,0.9021562337875366,0.489943265914917,0.00903977733105421,6.8103814125061035,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.45606998421703593,0.7851759613930136,0.19967378215835974,0.0,20000,256,10,0.4692952036857605,0.6850512623786926,0.4038216471672058,0.6645996570587158,0.9605878591537476,0.5038301348686218,0.0021722745150327682,8.997087478637695,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5142344384136116,0.5924145688620425,0.046450412719997725,0.0,20000,256,10,0.5233598351478577,0.7234361171722412,0.4452533721923828,0.7039934396743774,1.0027285814285278,0.5522906184196472,0.0056024580262601376,8.489569664001465,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.6075448519014384,0.17052412368729153,0.06505159298527952,0.0,20000,256,10,0.47766199707984924,0.6911309361457825,0.4399891793727875,0.6675913333892822,0.9555416107177734,0.5267348885536194,0.011046462692320347,7.442547798156738,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.9488855372533332,0.9656320330745594,0.8083973481164611,0.0,20000,256,10,0.4567772150039673,0.6758529543876648,0.4335169196128845,0.6520305871963501,0.931620717048645,0.5151485800743103,0.008653393015265465,7.860795974731445,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.3046137691733707,0.09767211400638387,0.6842330265121569,0.0,20000,256,10,0.4812776744365692,0.6937417984008789,0.4454280138015747,0.6740910410881042,0.970751941204071,0.5254085659980774,0.01240631565451622,7.429162979125977,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.4401524937396013,0.12203823484477883,0.4951769101112702,0.0,20000,256,10,0.477358341217041,0.6909112334251404,0.44376516342163086,0.6684948205947876,0.960834264755249,0.5251152515411377,0.007682369090616703,7.449395656585693,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.034388521115218396,0.9093204020787821,0.2587799816000169,0.0,20000,256,10,0.8381271958351135,0.9154928922653198,0.6487646102905273,1.024306297302246,1.337841510772705,0.7459994554519653,0.011443031020462513,7.685815334320068,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.662522284353982,0.31171107608941095,0.5200680211778108,0.0,20000,256,10,0.4524226188659668,0.6726236939430237,0.441983699798584,0.6407537460327148,0.9387752413749695,0.5222420692443848,0.006365072447806597,7.522730350494385,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5467102793432796,0.18485445552552704,0.9695846277645586,0.0,20000,256,10,0.48226431012153625,0.6944525241851807,0.44236040115356445,0.6690022349357605,0.9787238836288452,0.5257381200790405,0.01091975998133421,7.4928412437438965,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.7751328233611146,0.9394989415641891,0.8948273504276488,0.0,20000,256,10,0.4602428078651428,0.6784119606018066,0.42694342136383057,0.640636146068573,0.9271262884140015,0.5117133259773254,0.01490482036024332,8.757184982299805,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
42,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.5978999788110851,0.9218742350231168,0.0884925020519195,0.0,20000,256,10,0.4759034812450409,0.6898576021194458,0.3953031897544861,0.6849513649940491,0.9756866693496704,0.5051872134208679,0.012668211944401264,9.658132553100586,1000,37,2nd,False,static_south,0.19999999999999996,1000,37,2nd,False,static_south,0.8
