seed_search,seed_run,n_layers,hidden_units,batch_size,lr,weight_decay,val_split,patience,reduce_plateau,num_epochs,lambda_data,lambda_rss,lambda_azimuth,lambda_bc,n_collocation,n_boundary_collocation,resampling_period,test_mse,test_rmse,test_50th,test_75th,test_90th,test_mae,test_min_ae,test_max_ae,develop_buffer,develop_channel,develop_polarization,develop_preprocess,develop_task,develop_split,test_buffer,test_channel,test_polarization,test_preprocess,test_task,test_split
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,0.0,0.0,0.0,10000,256,10,2.8147270679473877,1.6777148246765137,1.2482099533081055,1.8779908418655396,2.621152639389038,1.4117931127548218,0.008551993407309055,6.0675811767578125,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_all,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,10.0,0.0,10000,256,10,2.9588418006896973,1.7201284170150757,1.3252410888671875,1.9909489154815674,2.7082090377807617,1.4709413051605225,0.02036186121404171,6.107369899749756,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_all,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,0.0,1.0,1.0,0.0,10000,256,10,14.01140022277832,3.743180513381958,2.7276968955993652,4.357497692108154,6.056768417358398,3.213141679763794,0.08879020065069199,9.581042289733887,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_all,1.0
,42,2,[8],256,0.1,0.01,0.2,10,0.1,500,1.0,1.0,1.0,0.0,10000,256,10,2.5776188373565674,1.6054964065551758,1.1731764078140259,1.8255627155303955,2.543189287185669,1.336902141571045,0.01654018647968769,6.780646324157715,1000,37,2nd,False,calibration,1.0,1000,37,2nd,False,static_all,1.0
